Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.7662337662337663,0.6875,0.6111111111111112,0.6470588235294118,0.822037037037037
Random Forest,0.7792207792207793,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.8191666666666666
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
KNN,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7886111111111112
Decision Tree,0.7597402597402597,0.639344262295082,0.7222222222222222,0.6782608695652174,0.7622222222222222
